date,tournament,adversario,categoria_adversario,rank,gols_brasil,gols_adversario
2008-06-18,FIFA World Cup qualification,Argentina,A,1.0,0.0,0.0
2008-09-07,FIFA World Cup qualification,Chile,C,40.0,3.0,0.0
2008-09-10,FIFA World Cup qualification,Bolivia,E,71.0,0.0,0.0
2008-10-12,FIFA World Cup qualification,Venezuela,E,66.0,4.0,0.0
2008-10-15,FIFA World Cup qualification,Colombia,C,33.0,0.0,0.0
2008-11-19,Friendly,Portugal,A,10.0,6.0,2.0
2009-02-10,Friendly,Italy,A,4.0,2.0,0.0
2009-03-29,FIFA World Cup qualification,Ecuador,C,39.0,1.0,1.0
2009-04-01,FIFA World Cup qualification,Peru,E,77.0,3.0,0.0
2009-06-06,FIFA World Cup qualification,Uruguay,B,17.0,4.0,0.0
2009-06-10,FIFA World Cup qualification,Paraguay,B,13.0,2.0,1.0
2009-06-15,Confederations Cup,Egypt,C,40.0,4.0,3.0
2009-06-18,Confederations Cup,USA,B,14.0,3.0,0.0
2009-06-21,Confederations Cup,Italy,A,4.0,3.0,0.0
2009-06-25,Confederations Cup,South Africa,E,72.0,1.0,0.0
2009-06-28,Confederations Cup,USA,B,14.0,3.0,2.0
2009-08-12,Friendly,Estonia,E,112.0,1.0,0.0
2009-09-05,FIFA World Cup qualification,Argentina,A,8.0,3.0,1.0
2009-09-09,FIFA World Cup qualification,Chile,B,21.0,4.0,2.0
2009-10-11,FIFA World Cup qualification,Bolivia,D,59.0,1.0,2.0
2009-10-14,FIFA World Cup qualification,Venezuela,D,51.0,0.0,0.0
2009-11-14,Friendly,England,A,7.0,1.0,0.0
2009-11-17,Friendly,Oman,E,79.0,2.0,0.0
2010-03-02,Friendly,Republic of Ireland,C,37.0,2.0,0.0
2010-06-02,Friendly,Zimbabwe,E,110.0,3.0,0.0
2010-06-07,Friendly,Tanzania,E,108.0,5.0,1.0
2010-06-15,FIFA World Cup,Korea DPR,E,105.0,2.0,1.0
2010-06-20,FIFA World Cup,Côte d'Ivoire,C,27.0,3.0,1.0
2010-06-25,FIFA World Cup,Portugal,A,3.0,0.0,0.0
2010-06-28,FIFA World Cup,Chile,B,18.0,3.0,0.0
2010-07-02,FIFA World Cup,Netherlands,A,4.0,1.0,2.0
2010-08-10,Friendly,USA,B,13.0,2.0,0.0
2010-10-07,Friendly,Iran,E,100.0,3.0,0.0
2010-10-11,Friendly,Ukraine,C,26.0,2.0,0.0
2010-11-17,Friendly,Argentina,A,5.0,0.0,1.0
